"article","V1"
"African_buffalo",0
"Amitermes_meridionalis",2
"Arctic_wolf",0
"Atta_(genus)",0
"Bamboo_lemur",2
"Barn_owl",0
"Bison",0
"Bobcat",2
"Buller's_albatross",2
"Butcherbird",2
"Caiman",2
"Capybara",0
"Caribou",2
"Chinstrap_penguin",2
"Christmas_Island_red_crab",2
"Click_beetle",0
"Colobinae",0
"Colubridae",2
"Corvidae",0
"Coyote",0
"Crab",0
"Crab_6",0
"Darkling_beetle",0
"Deathstalker",0
"Desert_long-eared_bat",2
"Draco_(genus)",2
"Elephant",0
"Elephant_5",0
"Fairy_tern",2
"Fire_ant",0
"Flamingo",2
"Fox",1
"Giant_anteater",2
"Giant_otter",2
"Giraffe",0
"Glass_frog",2
"Golden_eagle",2
"Golden_mole",2
"Goldeneye_(duck)",2
"Great_bowerbird",2
"Grizzly_bear",0
"Ground_squirrel",0
"Harris's_hawk",2
"Hawksbill_sea_turtle",2
"Hummingbird",0
"Indri",0
"Indri_3",2
"Jackson's_widowbird",2
"Jaguar",0
"Komodo_dragon",2
"Kori_bustard",2
"Lagidium",2
"Lemur",0
"Leopard",1
"Lion",0
"Lion_5",0
"Lizard",0
"Locust",2
"Marine_iguana",1
"Marmot",0
"Micromys",2
"Millipede",0
"Mouse",0
"Namaqua_chameleon",1
"Noddy_(tern)",1
"Nubian_ibex",2
"Oryx",1
"Ostrich",0
"Pachydactylus_rangei",2
"Pale_chanting_goshawk",2
"Peregrine_falcon",0
"Pigeon",0
"Pygmy_three-toed_sloth",2
"Raccoon",1
"Railroad_worm",2
"Rat",0
"Red_bird-of-paradise",2
"Red_fox",0
"Rhesus_macaque",0
"Rhinoceros",0
"Ring-tailed_lemur",0
"River_dolphin",2
"Saiga_antelope",2
"Sandgrouse",2
"Serval",0
"Seychelles_fody",2
"Shearwater",2
"Sifaka",0
"Skua",0
"Sloth_bear",1
"Smooth-coated_otter",0
"Snares_penguin",2
"Snow_Leopard",1
"Southern_African_vlei_rat",1
"Southern_carmine_bee-eater",2
"Spider",1
"Spider_monkey",1
"Spotted_hyena",2
"Squirrel",0
"Starling",0
"Sword-billed_hummingbird",2
"Termite",0
"Tiger",0
"Uroplatus",0
"Vole",0
"Wasp",0
"Wels_catfish",2
"Wild_water_buffalo",0
"Wildebeest",0
"Wilson's_bird-of-paradise",2
"Yellow_crazy_ant",2
"Zebra",0
